Title,Formatted Date,URL,pic_id
01-03-2022 Monday,[[20220103]],https://www.brookspriceaction.com/viewtopic.php?t=5855,7068.0
01-04-2022 Tuesday - No Webinar,[[20220104]],https://www.brookspriceaction.com/viewtopic.php?t=5854,
01-05-2022 Wednesday,[[20220105]],https://www.brookspriceaction.com/viewtopic.php?t=5853,7069.0
01-06-2022 Thursday - No Webinar,[[20220106]],https://www.brookspriceaction.com/viewtopic.php?t=5852,
01-07-2022 Friday,[[20220107]],https://www.brookspriceaction.com/viewtopic.php?t=5851,7070.0
01-10-2022 Monday - No Webinar,[[20220110]],https://www.brookspriceaction.com/viewtopic.php?t=5860,
01-11-2022 Tuesday,[[20220111]],https://www.brookspriceaction.com/viewtopic.php?t=5859,7071.0
01-12-2022 Wednesday - No Webinar,[[20220112]],https://www.brookspriceaction.com/viewtopic.php?t=5858,
01-13-2022 Thursday,[[20220113]],https://www.brookspriceaction.com/viewtopic.php?t=5857,7072.0
01-14-2022 Friday - No Webinar,[[20220114]],https://www.brookspriceaction.com/viewtopic.php?t=5856,
01-17-2022 Monday - No Webinar,[[20220117]],https://www.brookspriceaction.com/viewtopic.php?t=5867,
01-18-2022 Tuesday,[[20220118]],https://www.brookspriceaction.com/viewtopic.php?t=5866,7073.0
01-19-2022 Wednesday - No Webinar,[[20220119]],https://www.brookspriceaction.com/viewtopic.php?t=5865,
01-20-2022 Thursday,[[20220120]],https://www.brookspriceaction.com/viewtopic.php?t=5864,7074.0
01-21-2022 Friday - No Webinar,[[20220121]],https://www.brookspriceaction.com/viewtopic.php?t=5863,
01-24-2022 Monday - No Webinar,[[20220124]],https://www.brookspriceaction.com/viewtopic.php?t=5872,
01-25-2022 Tuesday,[[20220125]],https://www.brookspriceaction.com/viewtopic.php?t=5871,7075.0
01-26-2022 Wednesday - No Webinar,[[20220126]],https://www.brookspriceaction.com/viewtopic.php?t=5870,
01-27-2022 Thursday,[[20220127]],https://www.brookspriceaction.com/viewtopic.php?t=5869,7077.0
01-28-2022 Friday - No Webinar,[[20220128]],https://www.brookspriceaction.com/viewtopic.php?t=5868,
01-31-2022 Monday,[[20220131]],https://www.brookspriceaction.com/viewtopic.php?t=5878,7078.0
02-01-2022 Tuesday - No Webinar,[[20220201]],https://www.brookspriceaction.com/viewtopic.php?t=5877,
02-02-2022 Wednesday,[[20220202]],https://www.brookspriceaction.com/viewtopic.php?t=5875,7080.0
02-03-2022 Thursday - No Webinar,[[20220203]],https://www.brookspriceaction.com/viewtopic.php?t=5874,
02-04-2022 Friday,[[20220204]],https://www.brookspriceaction.com/viewtopic.php?t=5873,7083.0
02-07-2022 Monday,[[20220207]],https://www.brookspriceaction.com/viewtopic.php?t=5885,7084.0
02-08-2022 Tuesday - No Webinar,[[20220208]],https://www.brookspriceaction.com/viewtopic.php?t=5884,
02-09-2022 Wednesday,[[20220209]],https://www.brookspriceaction.com/viewtopic.php?t=5883,7085.0
02-10-2022 Thursday - No Webinar,[[20220210]],https://www.brookspriceaction.com/viewtopic.php?t=5882,
02-11-2022 Friday,[[20220211]],https://www.brookspriceaction.com/viewtopic.php?t=5881,7086.0
02-14-2022 Monday - No Webinar,[[20220214]],https://www.brookspriceaction.com/viewtopic.php?t=5890,
02-15-2022 Tuesday,[[20220215]],https://www.brookspriceaction.com/viewtopic.php?t=5889,7087.0
02-16-2022 Wednesday - No Webinar,[[20220216]],https://www.brookspriceaction.com/viewtopic.php?t=5888,
02-17-2022 Thursday,[[20220217]],https://www.brookspriceaction.com/viewtopic.php?t=5887,7088.0
02-18-2022 Friday - No Webinar,[[20220218]],https://www.brookspriceaction.com/viewtopic.php?t=5886,
02-21-2022 Monday - No Webinar,[[20220221]],https://www.brookspriceaction.com/viewtopic.php?t=5896,
02-22-2022 Tuesday,[[20220222]],https://www.brookspriceaction.com/viewtopic.php?t=5895,7092.0
02-23-2022 Wednesday - No Webinar,[[20220223]],https://www.brookspriceaction.com/viewtopic.php?t=5894,
02-24-2022 Thursday,[[20220224]],https://www.brookspriceaction.com/viewtopic.php?t=5893,7093.0
02-25-2022 Friday - No Webinar,[[20220225]],https://www.brookspriceaction.com/viewtopic.php?t=5892,
02-28-2022 Monday,[[20220228]],https://www.brookspriceaction.com/viewtopic.php?t=5901,7094.0
03-01-2022 Tuesday - No Webinar,[[20220301]],https://www.brookspriceaction.com/viewtopic.php?t=5900,
03-02-2022 Wednesday,[[20220302]],https://www.brookspriceaction.com/viewtopic.php?t=5899,7096.0
03-03-2022 Thursday - No Webinar,[[20220303]],https://www.brookspriceaction.com/viewtopic.php?t=5898,
03-04-2022 Friday,[[20220304]],https://www.brookspriceaction.com/viewtopic.php?t=5897,7099.0
03-07-2022 Monday,[[20220307]],https://www.brookspriceaction.com/viewtopic.php?t=5909,7100.0
03-08-2022 Tuesday - No Webinar,[[20220308]],https://www.brookspriceaction.com/viewtopic.php?t=5908,
03-09-2022 Wednesday,[[20220309]],https://www.brookspriceaction.com/viewtopic.php?t=5907,7104.0
03-10-2022 Thursday - No Webinar,[[20220310]],https://www.brookspriceaction.com/viewtopic.php?t=5906,
03-11-2022 Friday,[[20220311]],https://www.brookspriceaction.com/viewtopic.php?t=5905,7105.0
03-14-2022 Monday - No Webinar,[[20220314]],https://www.brookspriceaction.com/viewtopic.php?t=5916,
03-15-2022 Tuesday,[[20220315]],https://www.brookspriceaction.com/viewtopic.php?t=5915,7107.0
03-16-2022 Wednesday,[[20220316]],https://www.brookspriceaction.com/viewtopic.php?t=5914,7108.0
03-17-2022 Thursday - No Webinar,[[20220317]],https://www.brookspriceaction.com/viewtopic.php?t=5913,
03-18-2022 Friday - No Webinar,[[20220318]],https://www.brookspriceaction.com/viewtopic.php?t=5912,
03-21-2022 Monday - No Webinar,[[20220321]],https://www.brookspriceaction.com/viewtopic.php?t=5921,
03-22-2022 Tuesday,[[20220322]],https://www.brookspriceaction.com/viewtopic.php?t=5920,7109.0
03-23-2022 Wednesday - No Webinar,[[20220323]],https://www.brookspriceaction.com/viewtopic.php?t=5919,
03-24-2022 Thursday,[[20220324]],https://www.brookspriceaction.com/viewtopic.php?t=5918,7110.0
03-25-2022 Friday - No Webinar,[[20220325]],https://www.brookspriceaction.com/viewtopic.php?t=5917,
